stamp,x,y,z,qx,qy,qz,qw
1.788340677249638319e+09,2.221302018930393918e-01,3.072120205033306295e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.121007634848567580e-01,9.936968445286078477e-01
1.788340677349886417e+09,1.926318324095890322e-01,2.994697458683328595e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.630094288235961753e-01,9.866245112070777257e-01
1.788340677449754953e+09,2.054196564014134085e-01,2.905980266882956187e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.757233072032647891e-01,9.844395965754053623e-01
1.788340677549640656e+09,2.043427715227164876e-01,2.907161192964026863e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745428054731965606e-01,9.846495869381887145e-01
1.788340677649599075e+09,2.259545084989037778e-01,2.761927944911784838e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.191881135860705432e-01,9.756826178950714912e-01
1.788340677749404669e+09,2.463334666528672057e-01,2.744494584877268828e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.303444153913911940e-01,9.731091666909722493e-01
1.788340677849944353e+09,2.642423725975254212e-01,2.757243660253707596e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.456596241629278310e-01,9.693561518121854848e-01
1.788340677949724913e+09,2.636374949535956747e-01,2.765098968759752474e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.448195398438157977e-01,9.695686633295561574e-01
1.788340678049725056e+09,3.319164554383475241e-01,2.787148346762306605e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.771941219557015890e-01,9.608139355531889469e-01
1.788340678149774313e+09,3.885051683596064120e-01,2.713343604975052337e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.712291523647619718e-01,9.625148034744674952e-01
